Complexity,Loss,Equation
1,23.782429,"-0.2484966"
3,19.009962,"x4 * x3"
4,17.82443,"x1 * abs(x0)"
5,13.103581,"(x0 * x1) * x0"
6,11.239746,"x1 * abs(x0 * -3.607257)"
7,8.815743,"(x0 * (x1 * 2.1465123)) * x0"
9,8.4780445,"(x3 * x4) + ((x0 * x0) * x1)"
10,3.3233182,"((x1 * abs(x0)) + (x4 * x3)) * 3.2285233"
11,1.5311295,"((x4 * x3) + ((x0 * x1) * x0)) * 2.2623146"
13,0.9629095,"(x1 * (x0 * (x0 * 2.051251))) + ((x3 * x4) * 2.9775705)"
14,0.96290946,"((x3 * 2.9771733) * x4) + ((x0 * (x1 * x0)) * abs(2.0512664))"
15,0.9567874,"((((x1 + 0.021102633) * 2.0608404) * x0) * x0) + ((x4 * 2.9768803) * x3)"
17,0.95143783,"((x0 * x0) * ((x1 * 2.0619013) + 0.04671732)) + ((x3 - 0.02562559) * (x4 * 2.9613163))"
19,0.94815546,"(((x4 * 2.9645052) * x3) + (((x1 * 1.0567683) + x1) * (x0 * x0))) - (x31 * -0.11986259)"
21,0.94486463,"(((x4 * 2.9645052) * (x3 - 0.019630173)) + (((x1 * 1.0567683) + x1) * (x0 * x0))) - (x31 * -0.11986259)"
22,0.9448646,"((x4 * (x3 - 0.01964133)) * 2.964502) + ((abs(x0 * x0) * ((x1 * 1.0567601) + x1)) - (x31 * -0.11981549))"
23,0.9443934,"(((x3 - 0.019511815) * (x4 * 2.958116)) + (((x1 * 1.0584373) + x1) * (x0 * x0))) - ((x27 - x31) * 0.08343585)"
25,0.9415307,"(x3 * (2.9274821 * x4)) + ((x1 + ((x1 * 1.034747) + (x4 * ((0.050983507 * x3) - (x47 * 0.06430345))))) * (x0 * x0))"
27,0.93789077,"((x4 * (x3 * 2.9274821)) - (x47 * 0.06692874)) + (((x1 + x1) + (x4 * ((0.050983507 * x3) - (x47 * 0.06430345)))) * (x0 * x0))"
29,0.9245243,"((((x1 + (x1 * 1.0618399)) + (x4 * ((x44 * 0.082384095) - (x47 * 0.07173175)))) * (x0 * x0)) + (x3 * (x4 * 2.972497))) - (x47 * 0.086870335)"
