Complexity,Loss,Equation
1,141.7056,"3.5291984"
3,131.9813,"x1 * 4.6877246"
5,119.34061,"(x1 - -0.7553394) * 4.707251"
6,91.05133,"(abs(x0) * 7.978718) * x1"
7,75.44469,"((x1 * x0) * 4.895347) * x0"
9,62.454727,"((x0 * 4.912411) * (x1 * x0)) + 3.6043324"
11,54.726963,"(((x0 * (x1 * x0)) - x5) * 4.5003433) + 3.504318"
12,43.176758,"((abs(x2) - 1.4707822) - ((x0 * x0) * x1)) * -5.243663"
14,40.507397,"(x0 * ((x0 * 4.9816694) * x1)) - (abs(x2 * 7.8366346) - 9.735815)"
16,35.403606,"((x0 * x0) * (x1 * 4.978501)) + (9.686723 - (x5 + abs(x2 * 7.8005333)))"
18,31.138344,"(x0 * ((x1 * 4.9719577) * x0)) - (((abs(x2) * 7.725818) - 9.585056) - (x5 * -3.0743454))"
22,26.923538,"(((x0 * (x0 * 4.953762)) * x1) - (((x5 - (x2 * x2)) * 3.3214822) - 11.992126)) - (abs(x2) * 14.926585)"
