seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.20710231988836816,0.2602046463687874,-0.30289878699445516,0.7171034267711914,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
1,False,0.6126149476099269,0.20933665530021292,0.20231510322150953,1.0229147919983441,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None), ('sq', 0, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None), ('sq', 0, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
2,False,0.82969738521008,0.21257556195927152,0.4130492837699078,1.2463454866502521,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
3,False,0.36850643025414453,0.30098601588998647,-0.22142616089022893,0.958439021398518,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
4,False,0.8624018033648594,0.2490386445448058,0.37428606005704007,1.3505175466726786,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
5,False,0.7014483741386597,0.20773674948588838,0.29428434514631846,1.108612403131001,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 4), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
6,False,0.5069843937613121,0.24294362406979986,0.030814890584504373,0.9831538969381198,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
7,False,0.8842022939976139,0.3130628842019118,0.2705990409618667,1.4978055470333609,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
8,False,0.1535667057989075,0.3541895903270091,-0.5406448912420303,0.8477783028398453,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sq', 0, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
9,False,0.11117052071528091,0.2662164283033205,-0.4106136787592273,0.632954720189789,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
10,False,0.5397774398957857,0.18763972842796947,0.1720035721769656,0.9075513076146059,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
11,False,0.7611492125229532,0.239761116025575,0.29121742511282617,1.2310809999330803,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
12,False,0.032938053614025006,0.25797974804132684,-0.4727022525469756,0.5385783597750257,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
13,False,0.5054585643031886,0.2893520228492547,-0.06167140048135067,1.072588529087728,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
14,False,0.6901897584388608,0.22232864982237616,0.2544256047870035,1.125953912090718,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
15,False,0.4171216265513183,0.19770637967958235,0.02961712237933689,0.8046261307232997,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
16,False,0.6265489428586182,0.3360960205886155,-0.032199257495068134,1.2852971432123046,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
17,False,0.9318901554873698,0.2063525734886648,0.5274391114495868,1.3363411995251528,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
18,False,1.0722348988183463,0.2550975463748872,0.5722437079235674,1.5722260897131253,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
19,False,0.573392635753194,0.24686560454912324,0.08953605083691246,1.0572492206694755,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6), ('int', 5, 23), ('int', 23, 39)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6), ('int', 23, 39)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
20,False,0.95553821025143,0.22500830187829057,0.5145219385699805,1.3965544819328795,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
21,False,0.269153180605481,0.24209789099662282,-0.20535868574789973,0.7436650469588617,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 6)]",{},{},dgp8,sr_pds_cf,Weak NL conf. (dummies),SR-PDS (CF),0.5
