seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6342051811336796,0.2910018262974125,0.06384160159075114,1.204568760676608,sr_pds,sr_pds,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -5.036977067831957}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
1,False,0.48750902712784255,0.04644848184879599,0.3964700027042024,0.5785480515514827,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.931759043065028, ('int', 3, 4): 3.1332052491344613, ('log', 2, None): -4.902504375186203}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
2,False,0.45292622075328554,0.17073889200795397,0.11827799241769577,0.7875744490888753,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.956551915472789, ('log', 2, None): -4.901923050690033}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
3,False,0.4322814339958136,0.1445177067179831,0.1490267288285667,0.7155361391630605,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.910096870596657, ('log', 2, None): -4.914055469824094}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
4,False,0.3362813300155816,0.3110813467446907,-0.27343810960401216,0.9460007696351753,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.855709373170162}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
5,False,0.4206936065952581,0.044088191506931294,0.3342807512416728,0.5071064619488435,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.990189605521171, ('int', 3, 4): 3.0659620334666577, ('log', 2, None): -4.975436075521842}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
6,False,0.21936323898336108,0.2437797129534987,-0.2584449984054964,0.6971714763722185,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.316812800046345}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
7,False,0.5601462256496446,0.04729584641824678,0.4674463666698809,0.6528460846294082,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.014135603024406, ('int', 3, 4): 2.997133179825843, ('log', 2, None): -4.974515604397748}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
8,False,0.4918344965954266,0.046927982781351275,0.3998556503439781,0.5838133428468751,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.005280000113617, ('int', 3, 4): 2.9593642611891178, ('log', 2, None): -4.970331233911062}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
9,False,0.6941397334912369,0.2731092395872652,0.15884562390019719,1.2294338430822767,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.982549798095514}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
