seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,sr_pds,sr_pds,[],"[('int', 21, 40), ('int', 34, 40), ('int', 40, 47)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,sr_pds,sr_pds,[],"[('int', 11, 17), ('int', 11, 48), ('int', 17, 32), ('int', 32, 48)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
3,False,0.46828788275586875,0.04362904849525503,0.3827749477051689,0.5538008178065686,sr_pds,sr_pds,[],"[('int', 1, 36), ('int', 36, 49)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
5,False,0.42129550991573034,0.044386050448451286,0.3342988510367658,0.5082921687946949,sr_pds,sr_pds,[],"[('int', 15, 49)]",[],"[('int', 15, 49)]",{},"{('int', 15, 49): -0.015041226174057034}",dgp1,sr_pds,Linear,SR-PDS,0.5
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
8,False,0.4870236168389747,0.04691786036913763,0.39506461051546493,0.5789826231624845,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,sr_pds,sr_pds,[],"[('int', 1, 43)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
10,False,0.4543243019337174,0.042484456475088805,0.3710547672425434,0.5375938366248915,sr_pds,sr_pds,[],"[('int', 3, 34)]",[],"[('int', 3, 34)]",{},"{('int', 3, 34): -0.005764859260855946}",dgp1,sr_pds,Linear,SR-PDS,0.5
11,False,0.5621161081083552,0.04660189811784226,0.4707763877973844,0.653455828419326,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
12,False,0.5484175193028361,0.04489427084612484,0.46042474844443143,0.6364102901612407,sr_pds,sr_pds,[],"[('int', 4, 16), ('int', 4, 34), ('int', 4, 47), ('int', 16, 35), ('int', 18, 30), ('int', 34, 35), ('int', 35, 47)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
13,False,0.5311694974473175,0.04680035353476165,0.43944080451918466,0.6228981903754502,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
14,False,0.5651721869764862,0.04427733690673773,0.47838860663928023,0.6519557673136921,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
15,False,0.41284206816068825,0.04168935316224074,0.3311309359626964,0.4945532003586801,sr_pds,sr_pds,[],"[('int', 17, 30)]",[],"[('int', 17, 30)]",{},"{('int', 17, 30): -0.11511219922336771}",dgp1,sr_pds,Linear,SR-PDS,0.5
16,False,0.5569827182422988,0.0471407162611074,0.46458691437052835,0.6493785221140693,sr_pds,sr_pds,[],"[('int', 0, 45)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
17,False,0.4565618399163717,0.040514802983443274,0.37715282606882294,0.5359708537639205,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
18,False,0.4936149859671674,0.04507309103759509,0.40527172753348106,0.5819582444008538,sr_pds,sr_pds,[],"[('int', 3, 14), ('int', 3, 21), ('int', 14, 22), ('int', 14, 27), ('int', 14, 35), ('int', 14, 48), ('int', 21, 22), ('int', 21, 27), ('int', 21, 35), ('int', 21, 48)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
19,False,0.4538334657315886,0.04654634334619031,0.3626026327730556,0.5450642986901216,sr_pds,sr_pds,[],"[('int', 0, 18), ('int', 12, 18), ('int', 18, 31)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
20,False,0.47101879731390306,0.04282125898069937,0.3870891297117323,0.5549484649160739,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
