bias,rmse,coverage,size,median,std,n_reps,dgp,n
-0.3777,0.7338,0.68,0.12,0.1748,0.642,25,dgp6,30
-0.4891,0.5781,0.8,0.0,0.0296,0.3144,25,dgp6,50
-0.5204,0.5782,0.64,0.0,-0.0297,0.2571,25,dgp6,100
-0.466,0.5171,0.52,0.04,0.0612,0.2289,25,dgp6,200
-0.3948,0.4571,0.64,0.08,0.1424,0.235,25,dgp6,500
-0.3522,0.3899,0.68,0.12,0.148,0.1709,25,dgp6,1000
-0.145,0.236,0.88,0.48,0.3195,0.19,25,dgp6,2000
-0.0659,0.1328,0.96,1.0,0.4271,0.1177,25,dgp6,5000
-0.0165,0.0681,1.0,1.0,0.4763,0.0674,25,dgp6,10000
-0.0673,0.6155,0.48,0.0,0.4288,0.6244,25,dgp7,30
-0.4152,0.7136,0.72,0.04,-0.0231,0.5923,25,dgp7,50
-0.7939,2.9526,0.88,0.08,0.2116,2.9026,25,dgp7,100
-0.0691,0.2605,0.88,0.4,0.4559,0.2564,25,dgp7,200
0.4995,0.5233,0.08,1.0,0.9809,0.1592,25,dgp7,500
1.2718,1.2769,0.0,1.0,1.7561,0.1171,25,dgp7,1000
1.8585,1.8599,0.0,1.0,2.3508,0.0734,25,dgp7,2000
2.134,2.1343,0.0,1.0,2.626,0.0338,25,dgp7,5000
2.1783,2.1783,0.0,1.0,2.6747,0.0168,25,dgp7,10000
-0.3852,0.6512,0.72,0.12,0.0805,0.5358,25,dgp8,30
-0.4656,0.5666,0.76,0.12,-0.0009,0.3296,25,dgp8,50
-0.4938,0.5679,0.6,0.04,0.0153,0.2862,25,dgp8,100
-0.5205,0.5852,0.52,0.08,0.002,0.2731,25,dgp8,200
-0.3615,0.4168,0.52,0.12,0.1301,0.2118,25,dgp8,500
-0.2451,0.3055,0.8,0.16,0.2311,0.1861,25,dgp8,1000
-0.1551,0.2272,0.8,0.56,0.3149,0.1695,25,dgp8,2000
-0.0533,0.1232,0.88,0.96,0.4435,0.1133,25,dgp8,5000
-0.044,0.0912,0.96,1.0,0.4531,0.0815,25,dgp8,10000
