seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
259,False,-0.1293943625196652,0.2725618638937965,-0.6636156157515063,0.4048268907121759,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.923844781881906}","{('int', 3, 6): 2.8689921043747058}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
260,False,-0.13457762108947993,0.31260736949588014,-0.747288065301405,0.4781328231224452,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.976703539452827}","{('int', 3, 6): 2.1533036741113576}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
261,False,0.7026450649778898,0.30370650138503735,0.10738032226321659,1.297909807692563,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.2477668026974635}","{('int', 3, 6): 2.4665556748748996}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
262,False,0.6882181464896259,0.1369998732640463,0.4196983948920951,0.9567378980871566,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 6), ('int', 3, 33), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('int', 3, 33), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.144307641777324, ('int', 3, 6): 1.7948853757931091, ('int', 3, 33): -0.23584219141561524, ('log', 2, None): -5.1000495133484165}","{('int', 3, 6): 1.7948853757931091}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
263,False,0.5464011454078287,0.13493755062694598,0.28192354617901455,0.8108787446366428,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.851328935187965, ('log', 2, None): -4.923966266960026}","{('int', 3, 6): 2.238486776107626}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
264,False,0.7743136051669175,0.2584692429525144,0.26771388897998927,1.2809133213538457,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.100676923653531}","{('int', 3, 6): 2.11866875471449}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
265,False,0.39429960016480176,0.29000843230457957,-0.17411692715217414,0.9627161274817777,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.949616507539413}","{('int', 3, 6): 1.6409968084754447}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
266,False,0.6372064133473748,0.30151522450623697,0.04623657331515041,1.2281762533795992,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.799821335882239}","{('int', 3, 6): 2.021699113306854}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
267,False,0.6704250166232852,0.29829277596492376,0.08577117573203463,1.255078857514536,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.746513352890378}","{('int', 3, 6): 1.472867652288982}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
268,False,0.41732630426291084,0.2747386399199699,-0.12116142998023016,0.9558140385060518,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.244845098875985}","{('int', 3, 6): 2.0950085036929127}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
269,False,0.6890441809598541,0.284287972073027,0.13183975569672124,1.246248606222987,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.6617770383587285}","{('int', 3, 6): 2.0201909432433616}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
270,False,0.6148460775681511,0.2987238467939436,0.029347337852021704,1.2003448172842806,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.230648221469229}","{('int', 3, 6): 2.127997390422755}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
271,False,0.0668387977412674,0.2834340133369177,-0.48869186839909134,0.6223694638816262,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.07027756805653}","{('int', 3, 6): 2.5086771754975357}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
272,False,0.2558163258581641,0.27158470598579293,-0.27648969787398997,0.7881223495903182,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.2115458518471796, ('int', 3, 4): 2.449481747547254}","{('int', 3, 6): 2.0979985146072444}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
273,False,0.27662290686964097,0.24903207522803147,-0.21147996057730073,0.7647257743165827,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.279346303261207}","{('int', 3, 6): 2.3279816648722615}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
274,False,0.8605618385083633,0.13288351560684522,0.6001101479189467,1.1210135290977798,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.044002269414257, ('log', 2, None): -4.77275988208572}",{},dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
275,False,0.47430272158404024,0.1260268349084496,0.22729012516347905,0.7213153180046015,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.981792127839324, ('log', 2, None): -5.0326477739094955}","{('int', 3, 6): 2.0944039974068}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
276,False,0.4674059492763116,0.12810912476373953,0.21631206473938214,0.7184998338132411,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.061707959422451, ('log', 2, None): -4.974531798548805}","{('int', 3, 6): 2.303232550143724}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
277,False,0.3371807891331607,0.12901404409318215,0.0843132627105237,0.5900483155557976,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.968009241833402, ('log', 2, None): -4.942336169898871}","{('int', 3, 6): 2.1339308576730383}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
278,False,0.58924019998794,0.27886178329752936,0.042671104724782416,1.1358092952510974,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.877259958363269}","{('int', 3, 6): 1.6787960738725223}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
279,False,0.22677128506465158,0.3079219818636968,-0.37675579938819415,0.8302983695174974,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.33293412013065}","{('int', 3, 6): 1.5437066056469313}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
