seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,1.7225600027268722,0.16958034833379074,1.3901825199926423,2.054937485461102,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
1,False,1.8200748896562242,0.17012643623296353,1.4866270746396157,2.1535227046728327,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
2,False,2.0716131743615938,0.1340218798477708,1.8089302898599628,2.3342960588632247,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
3,False,1.7267553387526862,0.1670443564295423,1.3993484001507832,2.054162277354589,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
4,False,1.9596905727647471,0.16372407627762411,1.6387913832606038,2.28058976226889,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
5,False,1.695108403516244,0.19405789368494963,1.3147549318937428,2.0754618751387452,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
6,False,1.8568745528557076,0.13030665790224144,1.6014735033673144,2.1122756023441007,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
7,False,1.7601896736341949,0.12512111784714736,1.514952282653786,2.0054270646146035,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
8,False,1.7245428238717695,0.15299402917985555,1.4246745266792527,2.0244111210642863,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
9,False,1.7413266446633637,0.1946949757096849,1.3597244922723815,2.122928797054346,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
10,False,1.690161243884147,0.1573351157243293,1.3817844170644615,1.9985380707038323,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
11,False,1.9282188002497394,0.16732872318398262,1.6002545028091335,2.256183097690345,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
12,False,1.7417825732543013,0.16428254765422295,1.4197887798520243,2.0637763666565783,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
13,False,1.9165344431854126,0.1774682997847444,1.5686965756073135,2.2643723107635116,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
14,False,1.8291214033451129,0.15523777888233894,1.5248553567357286,2.133387449954497,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
15,False,1.7231565729673033,0.1581972766445171,1.4130899107440498,2.033223235190557,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
16,False,1.9621175691967851,0.14243551871013246,1.6829439525249255,2.241291185868645,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
17,False,1.802113146308515,0.14184373577046594,1.5240994241984018,2.080126868418628,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
18,False,1.559590047821587,0.19034593260748453,1.1865120199109174,1.9326680757322565,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
19,False,1.8086823766111004,0.12568099677881953,1.562347622924614,2.055017130297587,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
20,False,1.7913291292227684,0.2080034318531927,1.3836424027905108,2.199015855655026,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
21,False,1.783488128150994,0.1854255237035303,1.4200541016920747,2.1469221546099133,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
22,False,1.6019541734322147,0.12584895907535432,1.3552902136445202,1.8486181332199092,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
23,False,1.8166651169310335,0.15224301801534026,1.5182688016209664,2.1150614322411005,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
24,False,2.5149715174763254,0.2204787666370314,2.082833134867744,2.947109900084907,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
25,False,1.8923438151293466,0.17567199314926335,1.5480267085567905,2.236660921701903,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
26,False,1.8653086711736333,0.14999494049124473,1.5713185878107936,2.159298754536473,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
27,False,2.1486315511711536,0.17293381835649035,1.8096812671924325,2.4875818351498746,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
28,False,2.075573080614289,0.16741552883781355,1.7474386440921743,2.4037075171364033,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
29,False,2.027216599142984,0.21772165463470142,1.600482156058969,2.453951042226999,dgp6,dml_rf,NL + mild NL conf.,DML-RF,0.5
