seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
18,False,0.34159394273100063,0.2633302368797748,-0.174533321553358,0.8577212070153593,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
19,False,0.8178995606002022,0.18345766308700154,0.45832254094967917,1.1774765802507252,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
20,False,0.6552213241764774,0.239471705537342,0.18585678132328703,1.1245858670296678,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
21,False,0.35926115609452336,0.19473645490762753,-0.022422295524426594,0.7409446077134734,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
22,False,0.4180504507242555,0.18652145454142335,0.052468399823065726,0.7836325016254453,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
23,False,0.5976573782149085,0.25151004324038206,0.10469769346375968,1.0906170629660572,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
24,False,0.8743740989222399,0.26693286588605,0.35118568178558196,1.397562516058898,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
25,False,0.5208201671595363,0.21813368897384008,0.0932781367708097,0.9483621975482628,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
26,False,0.4781866899658176,0.2346193807332477,0.01833270372865209,0.9380406762029831,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
27,False,0.5536376268016934,0.2075348956888541,0.14686923125153933,0.9604060223518474,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 2, 5), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 2, 5), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
28,False,0.5325004200223281,0.2508551712528536,0.04082428436673502,1.0241765556779212,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
29,False,0.5193901096005143,0.1356337844640687,0.2535478920509397,0.785232327150089,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
30,False,0.3216998076003159,0.34156672093302726,-0.34777096542841746,0.9911705806290493,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
31,False,0.6670862378584593,0.3458080532030412,-0.01069754641950138,1.34487002213642,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
32,False,0.4317010042150656,0.18657992678771837,0.06600434771113756,0.7973976607189937,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
33,False,0.6234703352854475,0.19750155925711094,0.23636727914151007,1.0105733914293848,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
34,False,0.8799152686410558,0.3094547566340402,0.273383945638337,1.4864465916437748,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
35,False,0.6103494833797801,0.2794830605571499,0.06256268468776638,1.1581362820717938,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
