Complexity,Loss,Equation
1,101.73041,"4.41725"
3,95.30494,"x1 + 4.3987203"
5,72.017685,"log(abs(x2)) * -5.188124"
7,56.91797,"(x1 - log(abs(x2))) * 4.864347"
9,50.183746,"((x1 - x6) - log(abs(x2))) * 4.322428"
10,33.672123,"((abs(x0) * x1) - log(abs(x2))) * 5.7600446"
12,33.652477,"(((abs(x0) * x1) - log(abs(x2))) + 0.02433922) * 5.7600446"
15,33.471836,"(((abs(x0) * x1) - log(abs(x2))) + abs(x9 * -0.08980037)) * 5.677582"
16,33.33748,"((((x9 * x9) * 0.073859856) + (abs(x0) * x1)) - log(abs(x2))) * 5.678055"
17,33.337475,"(abs(x9 * (x9 * 0.073859856)) + ((abs(x0) * x1) - log(abs(x2)))) * 5.678055"
18,33.120384,"(((((x9 * x9) * 0.073859856) + (x1 * abs(x0))) - log(abs(x2))) * 5.678055) - x19"
