Complexity,Loss,Equation
1,98.97383,"8.2033615"
3,89.34635,"8.216087 - x1"
4,64.99215,"square(x0 * -2.4595075)"
5,62.952095,"sqrt(square(x0)) * 10.341422"
6,41.472717,"(square(x0) - x1) * 5.679181"
7,38.407776,"(square(x2) + square(x0)) * 3.959458"
8,31.300293,"((square(x0) - x1) + 0.7627295) * 4.780814"
9,15.623972,"((square(x2) + square(x0)) - x1) * 4.014464"
11,8.503656,"(((square(x0) - x1) - x3) + square(x2)) * 3.9486625"
13,2.1833472,"((square(x2) + ((square(x0) - x1) * 1.6486956)) - x3) * 3.0268495"
15,1.2304844,"x4 + (((((square(x0) - x1) * 1.6694978) - x3) + square(x2)) * 3.0045116)"
17,1.2281593,"((square(x2) + (((square(x0) - x1) * 1.6728162) - x3)) * 2.991008) + (x4 + 0.06373144)"
