Complexity,Loss,Equation
1,0.8714932,"-0.038892664"
3,0.85867506,"x17 * -0.11065942"
5,0.8448856,"(x27 - x17) * 0.11471504"
7,0.8435035,"((x27 - x17) + -0.32290915) * 0.11471504"
8,0.8318588,"(abs(x15 * x39) * x20) * -0.19673064"
10,0.8260043,"(abs((x39 * x15) * x19) * x20) * -0.21330753"
11,0.8183732,"(x17 - (x47 * (x20 * (x14 - 0.9238939)))) * -0.12309832"
12,0.80091935,"(x17 - (x47 * (x20 * (x14 - abs(x3))))) * -0.14107347"
14,0.79616857,"-0.10322642 * (x17 - ((x20 * x47) * ((x14 - abs(x32)) + x41)))"
16,0.79442406,"-0.10322642 * (x17 - ((x20 * x47) * (x14 - (abs(x32) + (x28 - x41)))))"
17,0.7918474,"(x17 - (x47 * (x20 * (x14 - (((x28 + 0.9480128) - x41) + x31))))) * -0.10322642"
22,0.7873981,"((x23 - x2) + (x17 - ((x47 * x20) * (x14 - (1.4523025 + (x28 - (abs(x23) + x41))))))) * -0.09044638"
24,0.78596556,"((x23 - x2) + (x17 - (x47 * (x20 * (x14 - (1.4523025 + (x28 - (abs(x12 + x23) + x41)))))))) * -0.09044638"
27,0.77791923,"((-0.5410795 - x47) * x20) * (((x14 - (abs((x27 - x41) + (x6 + x6)) * -0.91324925)) - abs(x6 + (2.2140539 - x41))) * -0.113895044)"
29,0.7742595,"((-0.5410795 - x47) * (x20 * ((x14 - (abs(x41 - ((x6 + x6) + x27)) * -0.91324925)) - abs(x6 + ((2.2140539 - x41) + x28))))) * -0.113895044"
