seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.4845425201839316,0.04976800994671117,0.3869972206883777,0.5820878196794855,epds_du,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.03483117252021, ('sq', 2, None): 2.9955106181879296}",{},"[0, 2, 3, 9, 12, 13, 20, 22, 24, 28, 33, 38, 46, 49]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
1,False,0.4923262254592843,0.04664329885267995,0.4009053597080316,0.5837470912105369,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('cubic', 40, 46)]","[('cubic', 40, 46), ('sq', 0, None), ('sq', 2, None)]","[('cubic', 40, 46)]","{('sq', 0, None): 4.993377182229308, ('sq', 2, None): 3.039711522947343}","{('cubic', 40, 46): -0.009771582863172418}","[0, 2, 9, 12, 14, 15, 18, 23, 25, 30, 39, 40, 42, 46]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
2,False,0.4601133297845234,0.04810267067922682,0.36583209525323884,0.5543945643158079,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('int', 1, 20), ('int', 1, 45), ('int', 20, 29), ('int', 29, 45)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.010417762714056, ('sq', 2, None): 3.035110224016058}",{},"[0, 1, 2, 13, 18, 20, 29, 30, 31, 32, 41, 43, 45, 47]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
3,False,0.47173375916627136,0.043895313382543065,0.38569894493648693,0.5577685733960558,epds_du,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 4.946777671020764, ('sq', 2, None): 2.990164473627862}",{},"[0, 1, 2, 10, 12, 21, 30, 33, 42, 43, 44, 47, 48, 49]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
4,False,0.5488619374297794,0.04534014302455248,0.45999525710165656,0.6377286177579022,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('cubic', 49, 32), ('int', 0, 32), ('int', 32, 35), ('int', 32, 49)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.027033001330868, ('sq', 2, None): 2.996292898471559}",{},"[0, 2, 8, 15, 18, 20, 25, 27, 28, 30, 32, 33, 35, 39, 49]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
5,False,0.42265092928929204,0.04421686537590993,0.3359858731525086,0.5093159854260755,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('int', 2, 22)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 4.986568722290863, ('sq', 2, None): 2.992679639649051}",{},"[0, 2, 3, 6, 8, 11, 18, 22, 23, 29, 35, 37, 45, 49]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
6,False,0.5083616142620017,0.042921886158453416,0.424234717391433,0.5924885111325704,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('int', 2, 31), ('int', 27, 31)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 4.942844207272746, ('sq', 2, None): 3.0084813732619162}",{},"[0, 1, 2, 4, 12, 16, 18, 21, 27, 31, 34, 36, 47]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
7,False,0.5577952199651277,0.04708585250904049,0.46550694904740836,0.650083490882847,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('cubic', 15, 2)]","[('cubic', 15, 2), ('sq', 0, None), ('sq', 2, None)]","[('cubic', 15, 2)]","{('sq', 0, None): 4.938965052522691, ('sq', 2, None): 3.0168528215804904}","{('cubic', 15, 2): 0.015045056986990591}","[0, 2, 12, 13, 14, 15, 17, 28, 32, 34, 42, 45, 48]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
8,False,0.49052376208885834,0.04741525845090639,0.3975898555250818,0.5834576686526348,epds_du,"[('sq', 0, None), ('sq', 2, None)]","[('cubic', 30, 40), ('cubic', 30, 48), ('cubic', 48, 10), ('cubic', 48, 30), ('cubic', 48, 40), ('int', 34, 40), ('int', 34, 48)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.029614935336163, ('sq', 2, None): 3.0214571219968263}",{},"[0, 2, 3, 5, 8, 10, 17, 21, 30, 33, 34, 40, 46, 48]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
9,False,0.3013338043757672,0.254074746764459,-0.1966526992825725,0.7993203080341069,epds_du,"[('sq', 0, None)]","[('int', 8, 24)]","[('int', 8, 24), ('sq', 0, None)]","[('int', 8, 24)]","{('sq', 0, None): 4.837918701334569}","{('int', 8, 24): -0.2502070280605521}","[0, 2, 8, 9, 12, 17, 21, 24, 25, 26, 39, 42, 44, 48]",dgp2,epds_du,Quadratic,EPDS + Du et al.,0.5
