beta_hat,se,ci_low,ci_high,seed,failed,dgp,estimator,dgp_label,est_label,beta0
0.8137542544156295,0.44300911724173514,-0.05454361537817132,1.6820521242094304,0,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.47594911643246773,0.41048168925266426,-0.3285949945027542,1.2804932273676897,1,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.31984984402577,0.3965990811004411,-0.45748435493109463,1.0971840429826347,2,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.4972729306134672,0.41194953359659586,-0.3101481552358607,1.3046940164627951,3,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.39417894675437654,0.3660295808565526,-0.3232390317244666,1.1115969252332196,4,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.21673850262679156,0.3973549579626489,-0.5620772149800002,0.9955542202335834,5,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.38788738625793623,0.3403302526658876,-0.2791599089672035,1.054934681483076,6,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.5738892318386155,0.4105556181852276,-0.23079977980443056,1.3785782434816616,7,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
-0.03540553466367263,0.33989925958251516,-0.7016080834454024,0.630797014118057,8,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.18181509387138037,0.4360706472900324,-0.6728833748170832,1.0365135625598438,9,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.19606417623707323,0.35959877975896226,-0.5087494320904928,0.9008777845646392,10,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.2235592609425957,0.3375862149858354,-0.4381097204296417,0.8852282423148331,11,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.350654544186044,0.39448121970863964,-0.4225286464428897,1.1238377348149777,12,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.8376134548408051,0.31799558660435606,0.21434210509626717,1.4608848045853429,13,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.9112722996876093,0.35113826781594976,0.22304129476834778,1.5995033046068707,14,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.05302874053205956,0.3115949157138237,-0.557697294267035,0.663754775331154,15,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.06425670036256002,0.40036511894808274,-0.7204589327756821,0.8489723335008021,16,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.20748994425410952,0.4114357331847383,-0.5989240927879775,1.0139039812961965,17,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.789935247621666,0.4507870169200357,-0.0936073055416039,1.6734778007849358,18,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.07296397292242023,0.38593097649294045,-0.6834607410037431,0.8293886868485835,19,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
-0.17407708290809207,0.3202011258177756,-0.8016712895109323,0.45351712369474806,20,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
-0.020521842296050613,0.395408782579346,-0.7955230561515687,0.7544793715594675,21,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.6045177423159354,0.3364740597841866,-0.05497141486107038,1.2640068994929412,22,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
1.0146719172072298,0.39612343737730127,0.23826997994771937,1.7910738544667404,23,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.3745182159585625,0.35063673521710104,-0.3127297850669555,1.0617662169840805,24,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
1.2462719879676105,0.42692608657935105,0.4094968582720825,2.0830471176631384,25,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.891874060970489,0.43903374416593177,0.03136792240526276,1.7523801995357153,26,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
-0.002823333608943843,0.4588966428029026,-0.9022607535026329,0.8966140862847453,27,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
1.0086694132509755,0.4442764351704248,0.13788760031694292,1.879451226185008,28,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
1.069613632424308,0.46496533611027335,0.1582815736481722,1.9809456912004437,29,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.5198890300132256,0.3775648571367394,-0.22013808997478357,1.2599161500012348,30,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.45291054172365525,0.3614614524375319,-0.25555390505390735,1.161374988501218,31,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.29134296570506024,0.36620033173733313,-0.42640968450011263,1.0090956159102331,32,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.638916345354675,0.34040442230435797,-0.028276322361866613,1.3061090130712167,33,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.11166613991661367,0.3805067536333293,-0.6341270972047117,0.8574593770379391,34,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.5897735909651515,0.36561384415279463,-0.12682954357432596,1.306376725504629,35,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.9112458987456898,0.3309594350363541,0.2625654060744358,1.559926391416944,36,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.6000948380213339,0.41890529059689086,-0.22095953154857217,1.42114920759124,37,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.1504847938208829,0.3455952653049893,-0.5268819261768961,0.8278515138186618,38,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.5879512504137133,0.3369055783032137,-0.07238368306058551,1.2482861838880122,39,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
0.876073350290545,0.3529270094508503,0.18433641176687843,1.5678102888142116,40,False,dgp2,dml_lasso,Quadratic + linear,DML-LASSO,0.5
