seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,epds,[],[],[],[],{},{},dgp1,epds,Linear,EPDS,0.5
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,epds,[],[],[],[],{},{},dgp1,epds,Linear,EPDS,0.5
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,epds,[],"[('int', 37, 45)]",[],[],{},{},dgp1,epds,Linear,EPDS,0.5
3,False,0.46828788275586875,0.04362904849525503,0.3827749477051689,0.5538008178065686,epds,[],"[('int', 5, 44), ('int', 31, 44), ('int', 42, 44)]",[],[],{},{},dgp1,epds,Linear,EPDS,0.5
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,epds,[],"[('int', 7, 20), ('int', 12, 39), ('int', 20, 35)]",[],[],{},{},dgp1,epds,Linear,EPDS,0.5
5,False,0.42129550991573034,0.044386050448451286,0.3342988510367658,0.5082921687946949,epds,[],"[('int', 15, 49)]","[('int', 15, 49)]","[('int', 15, 49)]",{},"{('int', 15, 49): -0.015041226174057034}",dgp1,epds,Linear,EPDS,0.5
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,epds,[],"[('int', 4, 16), ('int', 12, 16), ('int', 16, 37)]",[],[],{},{},dgp1,epds,Linear,EPDS,0.5
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,epds,[],[],[],[],{},{},dgp1,epds,Linear,EPDS,0.5
8,False,0.4827670510490069,0.04762393023268934,0.38942414779293577,0.576109954305078,epds,[],"[('cubic', 9, 13), ('cubic', 9, 40), ('int', 9, 21), ('int', 9, 39), ('int', 21, 39), ('sq', 9, None)]","[('cubic', 9, 13)]","[('cubic', 9, 13)]",{},"{('cubic', 9, 13): -0.02762801018641397}",dgp1,epds,Linear,EPDS,0.5
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,epds,[],[],[],[],{},{},dgp1,epds,Linear,EPDS,0.5
