seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49725367926232844,0.04986789459402009,0.39951260585804904,0.5949947526666078,epds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 3, 36), ('int', 21, 40), ('int', 34, 40), ('int', 40, 47)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.97330517118047, ('int', 3, 4): 2.9401040056859253}",{},dgp3,epds,Interactions,EPDS,0.5
1,False,0.2616918784497021,0.14547434774285864,-0.023437843126300817,0.546821600025705,epds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.646652227933805}",{},dgp3,epds,Interactions,EPDS,0.5
2,False,0.45629260958926127,0.17119939260032166,0.1207418000926308,0.7918434190858917,epds,"[('int', 0, 1)]","[('int', 7, 13), ('int', 7, 19), ('int', 13, 36), ('int', 19, 36)]","[('int', 0, 1)]",[],"{('int', 0, 1): 4.8491421915080135}",{},dgp3,epds,Interactions,EPDS,0.5
3,False,0.47117259371385156,0.04361499613324878,0.38568720129268397,0.5566579861350192,epds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 0, 10), ('int', 0, 41), ('int', 0, 47), ('int', 10, 48), ('int', 30, 48), ('int', 41, 48), ('int', 47, 48)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.949102198071815, ('int', 3, 4): 3.0848627844905243}",{},dgp3,epds,Interactions,EPDS,0.5
4,False,0.5524528207965528,0.04522178988298244,0.4638181126259072,0.6410875289671983,epds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 8, 10), ('int', 8, 24), ('int', 10, 20), ('int', 20, 24)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.94840854723219, ('int', 3, 4): 2.9290839918797755}",{},dgp3,epds,Interactions,EPDS,0.5
5,False,0.5469171949335978,0.14457366184965495,0.2635528177082741,0.8302815721589215,epds,"[('int', 0, 1)]","[('int', 15, 49)]","[('int', 0, 1), ('int', 15, 49)]","[('int', 15, 49)]","{('int', 0, 1): 5.044203775354108}","{('int', 15, 49): -0.05569963638560534}",dgp3,epds,Interactions,EPDS,0.5
6,False,0.5080222272522247,0.04289763453169601,0.42394286357010047,0.5921015909343489,epds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 27, 31)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.986920090494029, ('int', 3, 4): 2.950503115884418}",{},dgp3,epds,Interactions,EPDS,0.5
7,False,0.5849556867697516,0.1384857254094495,0.3135236649672306,0.8563877085722726,epds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.732604728764559}",{},dgp3,epds,Interactions,EPDS,0.5
8,False,0.8397070227261055,0.24817188796608133,0.3532901223125861,1.326123923139625,epds,[],"[('int', 33, 41), ('sq', 33, None)]","[('int', 33, 41), ('sq', 33, None)]","[('int', 33, 41), ('sq', 33, None)]",{},"{('int', 33, 41): 0.5679871534412766, ('sq', 33, None): 0.08770535475324244}",dgp3,epds,Interactions,EPDS,0.5
9,False,0.5082301321140077,0.04214166558685097,0.4256324675637798,0.5908277966642356,epds,"[('int', 0, 1), ('int', 3, 4)]",[],"[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.974523064892624, ('int', 3, 4): 3.0229372473127176}",{},dgp3,epds,Interactions,EPDS,0.5
