seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6439040794117696,0.3005676350238087,0.05479151476510469,1.2330166440584347,epds_du,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -5.027435750396093}",{},"[0, 1, 2, 3, 4, 5, 6, 9, 12, 13, 19, 20, 22, 24, 27, 28, 33, 34, 38, 46, 49]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
1,False,-0.20175767021635868,0.31607013524620164,-0.8212551352989139,0.4177397948661965,epds_du,"[('cubic', 0, 1)]","[('int', 12, 39)]","[('cubic', 0, 1), ('int', 12, 39)]","[('int', 12, 39)]","{('cubic', 0, 1): 4.8094597056221495}","{('int', 12, 39): -0.23990445183669623}","[0, 1, 2, 3, 4, 8, 9, 12, 13, 14, 15, 18, 23, 25, 30, 32, 36, 37, 39, 40, 42, 46, 47]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
2,False,0.4303944024117599,0.16754941172936288,0.10199755542220867,0.7587912494013112,epds_du,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 20, 29)]","[('cubic', 0, 1), ('int', 20, 29), ('log', 2, None)]","[('int', 20, 29)]","{('cubic', 0, 1): 4.961248177087035, ('log', 2, None): -4.8570000776254725}","{('int', 20, 29): -0.2961164374800362}","[0, 1, 2, 3, 4, 5, 9, 13, 18, 20, 24, 26, 29, 30, 31, 32, 39, 41, 43, 45, 47]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
3,False,0.4749499851760599,0.25803417282847896,-0.03079699356775889,0.9806969639198787,epds_du,"[('cubic', 0, 1)]","[('int', 42, 48), ('int', 47, 48)]","[('cubic', 0, 1), ('int', 42, 48)]","[('int', 42, 48)]","{('cubic', 0, 1): 5.186155004353669}","{('int', 42, 48): -0.18295450250001608}","[0, 1, 2, 3, 4, 9, 10, 12, 14, 16, 19, 21, 30, 33, 36, 38, 42, 43, 44, 47, 48, 49]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
4,False,0.3261396613227468,0.3113302745720131,-0.2840676768383989,0.9363469994838924,epds_du,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.920146719000312}",{},"[0, 1, 2, 3, 4, 8, 15, 18, 20, 25, 27, 28, 30, 32, 33, 35, 39, 41, 47]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
5,False,0.6046707690794284,0.22859951896932856,0.15661571189954443,1.0527258262593124,epds_du,"[('cubic', 0, 1)]","[('int', 1, 37), ('int', 18, 24), ('int', 18, 37), ('int', 18, 41), ('int', 18, 45), ('sq', 37, None)]","[('cubic', 0, 1), ('int', 18, 24), ('sq', 37, None)]","[('int', 18, 24), ('sq', 37, None)]","{('cubic', 0, 1): 4.839035934793381}","{('int', 18, 24): 0.24426253776711634, ('sq', 37, None): -0.2042611634586529}","[0, 1, 2, 3, 6, 8, 9, 11, 14, 18, 22, 23, 24, 29, 35, 37, 41, 44, 45, 49]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
6,False,0.2593394095994891,0.21398965182330854,-0.16008030797419565,0.6787591271731739,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 27, 31)]","[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 5.270618907160678, ('int', 3, 4): 3.153053527699706}",{},"[0, 1, 2, 3, 4, 11, 12, 16, 18, 20, 21, 22, 27, 31, 33, 34, 36, 41, 42, 45, 47]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
7,False,0.6693526325380897,0.23662644163810653,0.20556480692740092,1.1331404581487785,epds_du,"[('cubic', 0, 1), ('sq', 2, None)]","[('int', 14, 34), ('int', 14, 48), ('sq', 14, None)]","[('cubic', 0, 1), ('sq', 2, None), ('sq', 14, None)]","[('sq', 14, None)]","{('cubic', 0, 1): 4.886372433016785, ('sq', 2, None): -2.658879857144791}","{('sq', 14, None): -0.20657689234521606}","[0, 1, 2, 3, 4, 12, 13, 14, 15, 17, 25, 28, 32, 34, 42, 48]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
8,False,1.1831555719814104,0.2877889910049292,0.6190891496117492,1.7472219943510716,epds_du,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.257288252868866}",{},"[0, 1, 2, 3, 4, 5, 8, 10, 12, 14, 17, 21, 30, 33, 34, 38, 40, 46, 48]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
9,False,0.4474107591287636,0.2373614742873276,-0.017817730474398497,0.9126392487319257,epds_du,"[('cubic', 0, 1), ('sq', 2, None)]","[('int', 8, 24)]","[('cubic', 0, 1), ('sq', 2, None)]",[],"{('cubic', 0, 1): 4.941124277957169, ('sq', 2, None): -2.2438449477351092}",{},"[0, 1, 2, 3, 4, 5, 8, 9, 12, 14, 17, 19, 21, 23, 24, 25, 26, 38, 39, 42, 44, 48]",dgp4,epds_du,Mixed nonlinear,EPDS + Du et al.,0.5
