seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,2.54901148969618,0.07115624650659934,2.4095452465432454,2.688477732849115,epds,"[('log', 2, None)]","[('int', 3, 4)]","[('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('log', 2, None): -5.0044799282069965}","{('int', 3, 4): -3.259289932448233}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
1,False,0.4989843143536423,0.04556125737930236,0.4096842498902097,0.588284378817075,epds,"[('cubic', 0, 1), ('log', 2, None)]","[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.971429011309264, ('log', 2, None): -4.908349975500098}","{('cubic', 0, 1): 4.971429011309264, ('int', 3, 4): 3.143461673625649}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
2,False,0.67067114494929,0.26175105683305694,0.15763907355649842,1.1837032163420815,epds,"[('cubic', 0, 1), ('int', 0, 1), ('sq', 0, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.547969534462954, ('int', 0, 1): -0.329172155847569}","{('cubic', 0, 1): 4.547969534462954, ('int', 3, 4): 2.320768807669098}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
3,False,0.4496767021339146,0.21447094274504214,0.02931365435363198,0.8700397499141972,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 5.3873063643186905}","{('int', 3, 4): 3.203800547123805}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
4,False,0.3993597753659174,0.2631580961139986,-0.11643009301751983,0.9151496437493546,epds,"[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.894877643510215, ('int', 3, 4): 3.411283034332355}","{('cubic', 0, 1): 4.894877643510215, ('int', 3, 4): 3.411283034332355}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
5,False,0.47753195395436676,0.20229395567244926,0.08103580083636625,0.8740281070723672,epds,"[('cubic', 0, 1)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.908002737397351}","{('cubic', 0, 1): 4.908002737397351, ('int', 3, 4): 3.465358051095895}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
6,False,0.2593394095995076,0.2139896518233078,-0.16008030797417572,0.6787591271731909,epds,"[('cubic', 0, 1)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 5.751940087961702}","{('cubic', 0, 1): 5.751940087961702, ('int', 3, 4): 3.875035298901223}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
7,False,0.4606102683892162,0.26752924530722183,-0.0637470524129386,0.984967589191371,epds,"[('cubic', 0, 1)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.89674934303641}","{('cubic', 0, 1): 4.89674934303641, ('int', 3, 4): 3.2958051083872686}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
8,False,0.9967824855842626,0.26163401623015736,0.48397981377315424,1.509585157395371,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.192538746499389}","{('int', 3, 4): 1.0082844050411897}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
9,False,0.6903445419939475,0.2353463533781471,0.22906568937277916,1.1516233946151158,epds,"[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.557069483791951, ('int', 3, 4): 2.2918827324893822}","{('cubic', 0, 1): 4.557069483791951, ('int', 0, 1): -0.3970314281654499, ('int', 3, 4): 2.2918827324893822}",dgp7,epds,NL + severe NL conf.,EPDS,0.5
