seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49891149247143546,0.04969239746699235,0.4015143934361305,0.5963085915067404,epds_du,"[('cubic', 0, 1), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.962563855004978, ('log', 2, None): -5.027427170821746}","{('cubic', 0, 1): 4.962563855004978, ('int', 3, 4): 2.941457137752357}","[0, 1, 2, 3, 4, 5, 6, 9, 19, 27, 34, 36]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
1,False,0.05554140390162768,0.2747309209521208,-0.48293120116452914,0.5940140089677844,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 5.658893173755824, ('int', 3, 4): 4.407308337084535}","{('cubic', 0, 1): 5.658893173755824, ('int', 3, 4): 4.407308337084535}","[0, 1, 2, 3, 4, 8, 13, 21, 32, 36, 37, 47]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
2,False,2.708181690522337,0.05610353959406056,2.5982187529179783,2.8181446281266953,epds_du,"[('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('int', 3, 4): -3.73529958139599, ('log', 2, None): -4.883807457522261}","{('int', 3, 4): -3.73529958139599}","[0, 2, 3, 4, 5, 9, 12, 18, 24, 26, 29, 32, 39]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
3,False,0.4496767021339146,0.21447094274504214,0.02931365435363198,0.8700397499141972,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 5.3873063643186905, ('int', 3, 4): 3.203800547123805}","{('cubic', 0, 1): 5.3873063643186905, ('int', 3, 4): 3.203800547123805}","[0, 1, 2, 3, 4, 9, 14, 18, 19, 36, 37, 38, 49]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
4,False,0.5547842964012509,0.045146149812753285,0.4662978427682545,0.6432707500342474,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.852985973672068, ('int', 3, 4): 2.7639388443601205, ('log', 2, None): -5.023256037459898}","{('cubic', 0, 1): 4.852985973672068, ('int', 3, 4): 2.7639388443601205}","[0, 1, 2, 3, 4, 8, 18, 25, 27, 30, 41, 47]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
5,False,0.4638448855293447,0.1476421670015224,0.1744662382063608,0.7532235328523287,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.9890138410074085, ('int', 3, 4): 3.3223473522317843, ('sq', 2, None): -2.3378786645056433}","{('cubic', 0, 1): 4.9890138410074085, ('int', 3, 4): 3.3223473522317843}","[0, 1, 2, 3, 4, 9, 14, 18, 37, 41, 44]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
6,False,0.5067986056428528,0.042715153977318975,0.4230769038473077,0.590520307438398,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.975908459982175, ('int', 3, 4): 2.9322874007780193, ('log', 2, None): -4.973425349837108}","{('cubic', 0, 1): 4.975908459982175, ('int', 3, 4): 2.9322874007780193}","[0, 1, 2, 3, 4, 11, 15, 20, 22, 27, 41, 45]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
7,False,0.5213959535497809,0.20253283943459857,0.12443158825796768,0.9183603188415941,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.846049788975385, ('int', 3, 4): 2.9104845441161116, ('sq', 2, None): -2.5006927714753804}","{('cubic', 0, 1): 4.846049788975385, ('int', 3, 4): 2.9104845441161116}","[0, 1, 2, 3, 4, 6, 7, 8, 22, 25, 44, 46]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
8,False,0.49091969777258293,0.046826502728398126,0.3991397524249226,0.5826996431202432,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 5.002280630334089, ('int', 3, 4): 2.9864550984057003, ('log', 2, None): -4.971347559405427}","{('cubic', 0, 1): 5.002280630334089, ('int', 3, 4): 2.9864550984057003}","[0, 1, 2, 3, 4, 10, 14, 17, 31, 33, 38, 46]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
9,False,0.5037386624813005,0.04174983477202427,0.42190898632813295,0.5855683386344681,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('cubic', 0, 1), ('int', 3, 4)]","{('cubic', 0, 1): 4.9601935015239365, ('int', 3, 4): 3.011911484631144, ('log', 2, None): -5.092930604147706}","{('cubic', 0, 1): 4.9601935015239365, ('int', 3, 4): 3.011911484631144}","[0, 1, 2, 3, 4, 9, 14, 19, 23, 28, 38]",dgp7,epds_du,NL + severe NL conf.,EPDS + Du et al.,0.5
