seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.564420053786764,0.3291130614015229,-0.08064154656022093,1.2094816541337488,epds_du,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.7712150964772855}",{},"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 15, 19, 20, 24, 26, 27, 34, 38, 41, 45]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
1,False,-0.1852566548569264,0.3131452544431456,-0.7990213535654919,0.428508043851639,epds_du,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.81407069952411}",{},"[0, 1, 2, 3, 4, 5, 8, 13, 14, 18, 22, 24, 26, 30, 32, 36, 37, 42, 47]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
2,False,0.9089677949563487,0.3660988900668078,0.19141397042540542,1.626521619487292,epds_du,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -4.839679724897911}",{},"[0, 2, 3, 4, 8, 9, 12, 13, 16, 18, 20, 23, 24, 26, 32, 35, 39, 41, 43, 48]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
3,False,0.4389664530829256,0.21559630867019985,0.016397688089333895,0.8615352180765172,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 5.375535468723893, ('int', 3, 4): 3.0581160556421314}",{},"[0, 1, 2, 3, 4, 9, 12, 14, 16, 17, 18, 19, 22, 33, 35, 36, 38, 48, 49]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
4,False,0.3362813300155816,0.3110813467446907,-0.27343810960401216,0.9460007696351753,epds_du,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.855709373170162}",{},"[0, 1, 2, 3, 4, 8, 11, 18, 25, 26, 27, 31, 33, 38, 41, 44, 45, 47, 49]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
5,False,0.5577368915140996,0.14135774223163766,0.28067571674008973,0.8347980662881094,epds_du,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.980345612412219, ('log', 2, None): -5.213038837065587}",{},"[0, 1, 2, 3, 5, 9, 14, 18, 24, 29, 33, 37, 38, 41, 44, 45]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
6,False,0.5072025080547505,0.04336620769573771,0.4222047409711046,0.5922002751383965,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.9688677153478995, ('int', 3, 4): 2.956179194080782, ('log', 2, None): -4.968605836091258}",{},"[0, 1, 2, 3, 4, 5, 7, 11, 18, 20, 22, 33, 36, 37, 38, 41, 42, 44, 45]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
7,False,0.5601462256496446,0.04729584641824678,0.4674463666698809,0.6528460846294082,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.014135603024406, ('int', 3, 4): 2.997133179825843, ('log', 2, None): -4.974515604397748}",{},"[0, 1, 2, 3, 4, 5, 6, 7, 21, 22, 25, 27, 32, 38, 40, 43, 44, 48]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
8,False,0.4918344965954266,0.046927982781351275,0.3998556503439781,0.5838133428468751,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.005280000113617, ('int', 3, 4): 2.9593642611891178, ('log', 2, None): -4.970331233911062}",{},"[0, 1, 2, 3, 4, 5, 7, 10, 14, 17, 26, 29, 31, 33, 34, 35, 38, 39, 46]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
9,False,0.6897706407805057,0.2374374758911041,0.22439318803394165,1.1551480935270697,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 5.025618560838148, ('int', 3, 4): 2.8353806296595354}",{},"[0, 1, 2, 3, 4, 5, 7, 9, 13, 14, 15, 19, 23, 24, 28, 38, 42]",dgp5,epds_du,NL + linear conf.,EPDS + Du et al.,0.5
