seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.5784870044920071,0.2513756262183993,0.0857907771039444,1.0711832318800698,epds_du,"[('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('int', 3, 4): 2.623984463273799, ('log', 2, None): -4.959038905320639}","{('int', 3, 4): 2.623984463273799}","[0, 1, 2, 3, 4, 5, 6, 9, 13, 19, 20, 27, 34]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
1,False,0.055541403901633875,0.27473092095212065,-0.4829312011645226,0.5940140089677903,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.769975981559091, ('int', 3, 4): 3.96284974098616}","{('int', 3, 4): 3.96284974098616}","[0, 1, 2, 3, 4, 5, 8, 13, 21, 32, 36, 37, 47]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
2,False,0.7354381608215671,0.32091819812896133,0.10643849248880288,1.3644378291543313,epds_du,"[('cubic', 0, 2), ('int', 3, 4), ('sq', 0, None), ('sq', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 2), ('int', 3, 4), ('sq', 0, None), ('sq', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 2): 1.5123494513183522, ('int', 3, 4): 2.4620860193226104, ('sq', 0, None): 1.1793096805911467, ('sq', 2, None): -2.5701448398941094}","{('int', 3, 4): 2.4620860193226104}","[0, 2, 3, 4, 5, 9, 18, 24, 26, 29, 32, 39, 43]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
3,False,0.4496767021339079,0.21447094274504208,0.02931365435362543,0.8700397499141904,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 5.286659768586506, ('int', 3, 4): 3.1534772492577137}","{('int', 3, 4): 3.1534772492577137}","[0, 1, 2, 3, 4, 9, 14, 18, 19, 24, 36, 38, 49]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
4,False,0.39935977536591016,0.26315809611399843,-0.11643009301752671,0.915149643749347,epds_du,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.693597194242059, ('int', 3, 4): 3.3106428096982587}","{('int', 3, 4): 3.3106428096982587}","[0, 1, 2, 3, 4, 8, 18, 25, 27, 30, 41, 47]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
5,False,0.42302879253727294,0.043600597418382306,0.33757162159724363,0.5084859634773022,epds_du,"[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.977635076417832, ('int', 3, 4): 3.2216009149039824, ('log', 2, None): -4.977189330228753}","{('int', 3, 4): 3.2216009149039824}","[0, 1, 2, 3, 4, 9, 14, 18, 24, 29, 37, 41, 44]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
6,False,0.5067986056428502,0.04271515397731887,0.4230769038473052,0.5905203074383951,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.989505671267905, ('int', 3, 4): 2.9390860064208395, ('log', 2, None): -4.973425349837108}","{('int', 3, 4): 2.9390860064208395}","[0, 1, 2, 3, 4, 11, 18, 20, 22, 27, 34, 41, 45]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
7,False,0.5490361280773601,0.046395973464419225,0.45810002008709844,0.6399722360676218,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.99351392727498, ('int', 3, 4): 2.893538351809415, ('log', 2, None): -4.971942302131066}","{('int', 3, 4): 2.893538351809415}","[0, 1, 2, 3, 4, 6, 13, 25]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
8,False,0.4909196977725865,0.046826502728398174,0.39913975242492605,0.5826996431202469,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.984120025879253, ('int', 3, 4): 2.977374796178286, ('log', 2, None): -4.971347559405439}","{('int', 3, 4): 2.977374796178286}","[0, 1, 2, 3, 4, 10, 11, 14, 17, 31, 33, 38, 46]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
9,False,0.49214233855078476,0.19460498063537782,0.11071657650544425,0.8735681005961253,epds_du,"[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.979134318310215, ('int', 3, 4): 3.0057931423396416, ('sq', 2, None): -2.378693499633207}","{('int', 3, 4): 3.0057931423396416}","[0, 1, 2, 3, 4, 5, 9, 14, 19, 23, 28, 38, 41]",dgp6,epds_du,NL + mild NL conf.,EPDS + Du et al.,0.5
