seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.4845425201839316,0.04976800994671117,0.3869972206883777,0.5820878196794855,epds,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.03483117252021, ('sq', 2, None): 2.9955106181879296}",{},dgp2,epds,Quadratic,EPDS,0.5
1,False,0.4895296185744744,0.045754393638093756,0.39985100704381066,0.5792082301051382,epds,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 4.993076551928379, ('sq', 2, None): 3.039644913846943}",{},dgp2,epds,Quadratic,EPDS,0.5
2,False,0.2995080658103344,0.18263613813689888,-0.058458764937987406,0.6574748965586562,epds,"[('sq', 0, None)]",[],"[('sq', 0, None)]",[],"{('sq', 0, None): 5.128418161469509}",{},dgp2,epds,Quadratic,EPDS,0.5
3,False,0.3421810454918615,0.1661268125463906,0.01657249290093593,0.667789598082787,epds,"[('sq', 0, None)]","[('int', 13, 49), ('int', 42, 44)]","[('sq', 0, None)]",[],"{('sq', 0, None): 4.836722404602591}",{},dgp2,epds,Quadratic,EPDS,0.5
4,False,0.5488619374297794,0.04534014302455248,0.45999525710165656,0.6377286177579022,epds,"[('sq', 0, None), ('sq', 2, None)]","[('int', 5, 8), ('int', 12, 18)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.027033001330868, ('sq', 2, None): 2.996292898471559}",{},dgp2,epds,Quadratic,EPDS,0.5
5,False,0.4177259454229848,0.17131572811729778,0.08194711831308116,0.7535047725328885,epds,"[('sq', 0, None)]","[('cubic', 32, 20), ('cubic', 32, 26), ('cubic', 32, 34)]","[('cubic', 32, 34), ('sq', 0, None)]","[('cubic', 32, 34)]","{('sq', 0, None): 4.980522370274068}","{('cubic', 32, 34): -0.07093683113517527}",dgp2,epds,Quadratic,EPDS,0.5
6,False,0.5020671302247657,0.19369761706076216,0.12241980078567183,0.8817144596638595,epds,"[('sq', 0, None)]","[('int', 0, 45), ('int', 4, 16), ('int', 4, 40), ('int', 5, 16), ('int', 5, 40), ('int', 32, 40)]","[('int', 0, 45), ('int', 4, 16), ('int', 5, 16), ('sq', 0, None)]","[('int', 0, 45), ('int', 4, 16), ('int', 5, 16)]","{('sq', 0, None): 4.9537897909172806}","{('int', 0, 45): 0.23993662892521656, ('int', 4, 16): 0.3864804406892475, ('int', 5, 16): 0.24525524602621362}",dgp2,epds,Quadratic,EPDS,0.5
7,False,0.5779020228979479,0.1834196757907483,0.21839945834808122,0.9374045874478145,epds,"[('cubic', 0, 3), ('int', 1, 3), ('sq', 0, None)]",[],"[('cubic', 0, 3), ('int', 1, 3), ('sq', 0, None)]",[],"{('cubic', 0, 3): -0.2228726202644469, ('int', 1, 3): 0.4016245636636888, ('sq', 0, None): 5.108535107678536}",{},dgp2,epds,Quadratic,EPDS,0.5
8,False,0.183100860724872,0.1851794439136221,-0.17985084934582732,0.5460525707955713,epds,"[('sq', 0, None)]","[('int', 4, 5), ('int', 15, 48)]","[('int', 4, 5), ('int', 15, 48), ('sq', 0, None)]","[('int', 4, 5), ('int', 15, 48)]","{('sq', 0, None): 4.8287118414348145}","{('int', 4, 5): -0.32310151694894595, ('int', 15, 48): -0.19153195864166264}",dgp2,epds,Quadratic,EPDS,0.5
9,False,0.5057670206460718,0.04195163212341996,0.4235418216841687,0.587992219607975,epds,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.031344518621766, ('sq', 2, None): 2.9599184001228336}",{},dgp2,epds,Quadratic,EPDS,0.5
