seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6342051811336796,0.2910018262974125,0.06384160159075114,1.204568760676608,epds,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -5.036977067831957}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
1,False,-0.1852566548569264,0.3131452544431456,-0.7990213535654919,0.428508043851639,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.81407069952411}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
2,False,1.089733329865487,0.4212777381025871,0.26402896318441627,1.9154376965465576,epds,[],[],[],[],{},{},dgp5,epds,NL + linear conf.,EPDS,0.5
3,False,0.6148621840934718,0.5277886660395243,-0.4196036013439959,1.6493279695309395,epds,[],[],[],[],{},{},dgp5,epds,NL + linear conf.,EPDS,0.5
4,False,0.4033420724129733,0.2658598452249314,-0.11774322422789224,0.9244273690538389,epds,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 4.683976732319578, ('int', 3, 4): 3.110244827079251}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
5,False,0.6614673574616166,0.22822561554923532,0.21414515098511533,1.1087895639381178,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.858118559174639}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
6,False,0.21936323898336108,0.2437797129534987,-0.2584449984054964,0.6971714763722185,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.316812800046345}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
7,False,0.620534243920776,0.2988817216257717,0.03472606953426349,1.2063424183072886,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.785893313112493}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
8,False,0.6744941855913755,0.13609621724451326,0.40774559979212954,0.9412427713906215,epds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.050348345788873, ('log', 2, None): -4.738862101767973}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
9,False,0.6941397334912369,0.2731092395872652,0.15884562390019719,1.2294338430822767,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.982549798095514}",{},dgp5,epds,NL + linear conf.,EPDS,0.5
