seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.5171377410012501,0.31487198566780966,-0.10001135090765678,1.134286832910157,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.768015554036563}","{('int', 3, 4): 3.1776918391355635}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
1,False,0.055541403901633875,0.27473092095212065,-0.4829312011645226,0.5940140089677903,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.769975981559091}","{('int', 3, 4): 3.96284974098616}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
2,False,0.6773899230038102,0.26254121952935877,0.16280913272626696,1.1919707132813535,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.896073779243133}","{('int', 3, 4): 2.481700864619243}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
3,False,0.4399817418424466,0.21609266940330196,0.016440109811974746,0.8635233738729184,epds,"[('cubic', 0, 1), ('int', 3, 4), ('int', 4, 24)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('int', 4, 24)]","[('int', 3, 4)]","{('cubic', 0, 1): 5.291851780512376, ('int', 3, 4): 3.123715137433632, ('int', 4, 24): 0.3604338575685797}","{('int', 3, 4): 3.123715137433632}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
4,False,0.39935977536591016,0.26315809611399843,-0.11643009301752671,0.915149643749347,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.693597194242059}","{('int', 3, 4): 3.3106428096982587}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
5,False,0.4638448855293506,0.14764216700152288,0.17446623820636575,0.7532235328523355,epds,"[('cubic', 0, 1), ('sq', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('sq', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.916703612066093, ('sq', 2, None): -2.3378786645056486}","{('int', 3, 4): 3.2861922377611243}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
6,False,0.1795827575792771,0.31285391445046834,-0.4336109147436408,0.792776429902195,epds,"[('int', 3, 4)]","[('int', 3, 4)]","[('int', 3, 4)]","[('int', 3, 4)]","{('int', 3, 4): 4.021017756867479}","{('int', 3, 4): 4.021017756867479}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
7,False,0.4606102683892081,0.26752924530722166,-0.06374705241294637,0.9849675891913625,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.817969879814826}","{('int', 3, 4): 3.256415376776484}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
8,False,0.9967824855842761,0.2616340162301581,0.48397981377316623,1.509585157395386,epds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 5.186103717667941}","{('int', 3, 4): 1.5050668906254732}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
9,False,0.4833912359974256,0.38476164638755195,-0.2707415909221762,1.2375240629170274,epds,"[('int', 3, 4)]","[('int', 3, 4)]","[('int', 3, 4)]","[('int', 3, 4)]","{('int', 3, 4): 2.7411075560861797}","{('int', 3, 4): 2.7411075560861797}",dgp6,epds,NL + mild NL conf.,EPDS,0.5
