seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,epds_du,[],[],[],[],{},{},"[0, 1, 2, 3, 9, 10, 11, 12, 13, 20, 22, 24, 27, 28, 33, 34, 38, 45, 46, 49]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,epds_du,[],"[('int', 0, 1), ('int', 0, 6), ('int', 0, 12), ('int', 1, 25), ('int', 6, 25), ('int', 12, 25), ('int', 14, 25), ('int', 14, 39)]",[],[],{},{},"[0, 1, 2, 3, 6, 9, 12, 14, 15, 18, 23, 25, 29, 30, 35, 37, 38, 39, 40, 42, 46, 47]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,epds_du,[],"[('int', 17, 29), ('int', 17, 32)]",[],[],{},{},"[0, 1, 3, 5, 10, 13, 14, 17, 18, 20, 22, 26, 29, 30, 31, 32, 34, 36, 41, 43, 45, 47]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
3,False,0.46163294671495714,0.04416008024081867,0.37507918944295254,0.5481867039869617,epds_du,[],"[('cubic', 47, 36), ('int', 1, 47), ('int', 3, 47), ('int', 12, 42), ('int', 36, 42), ('int', 36, 47), ('int', 47, 48)]","[('cubic', 47, 36)]","[('cubic', 47, 36)]",{},"{('cubic', 47, 36): 0.027470708764664706}","[0, 1, 3, 4, 10, 12, 21, 26, 30, 33, 36, 42, 43, 44, 47, 48, 49]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,epds_du,[],[],[],[],{},{},"[0, 1, 6, 8, 9, 11, 12, 13, 15, 18, 20, 25, 27, 28, 30, 32, 33, 35, 39, 46]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
5,False,0.42349653347866456,0.04403371321511341,0.3371904555770423,0.5098026113802868,epds_du,[],"[('int', 1, 14), ('int', 1, 22), ('int', 1, 44), ('int', 2, 14), ('int', 2, 22), ('int', 2, 44), ('int', 14, 18), ('int', 14, 37), ('int', 18, 22), ('int', 18, 44), ('int', 22, 37), ('int', 37, 44)]",[],[],{},{},"[0, 1, 2, 3, 6, 8, 11, 14, 18, 19, 22, 23, 29, 34, 35, 37, 44, 45, 49]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,epds_du,[],"[('int', 4, 16), ('int', 12, 16), ('int', 16, 34)]",[],[],{},{},"[0, 1, 2, 3, 4, 12, 15, 16, 18, 20, 21, 24, 25, 27, 28, 31, 34, 36, 43, 47, 49]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,epds_du,[],"[('int', 14, 48)]",[],[],{},{},"[0, 1, 2, 3, 7, 12, 13, 14, 15, 17, 21, 28, 31, 32, 34, 35, 38, 40, 42, 46, 48]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
8,False,0.4870236168389747,0.04691786036913763,0.39506461051546493,0.5789826231624845,epds_du,[],"[('int', 1, 40), ('int', 34, 48), ('int', 46, 48)]",[],[],{},{},"[0, 1, 3, 5, 8, 10, 14, 16, 17, 18, 21, 24, 30, 31, 33, 34, 40, 46, 48]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,epds_du,[],"[('int', 0, 44)]",[],[],{},{},"[0, 2, 3, 4, 8, 12, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 33, 36, 39, 42, 44, 45, 48]",dgp1,epds_du,Linear,EPDS + Du et al.,0.5
