beta_hat,se,ci_low,ci_high,seed,failed,dgp,estimator,dgp_label,est_label,beta0
0.7648812817062572,0.2194040667292772,0.3348493109168739,1.1949132524956405,0,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.36239788070252965,0.2425974106567477,-0.11309304418469585,0.8378888055897551,1,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.17922029548657067,0.28649412820973125,-0.3823081958045025,0.7407487867776439,2,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.36156778043890075,0.3279587926949602,-0.28123145324322124,1.0043670141210228,3,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.4399545027066275,0.23360750312828557,-0.017916203424812205,0.8978252088380672,4,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.7690517114191512,0.2727969287967296,0.23436973097756109,1.3037336918607414,5,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.5884364089059515,0.24058176460317235,0.11689615028373368,1.0599766675281694,6,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.15912896597165604,0.23939694069094902,-0.31008903778260405,0.6283469697259161,7,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.8711207256898087,0.24524976689078087,0.3904311825838782,1.3518102687957392,8,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.5275509184165427,0.24942597428335936,0.03867600882115835,1.016425828011927,9,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.00573784449414737,0.2583734538720153,-0.5006741250950026,0.5121498140832974,10,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.38654568003845974,0.28171835559573755,-0.1656222969291859,0.9387136570061054,11,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
-0.10219506395354185,0.24540185661720576,-0.5831827029232651,0.37879257501618147,12,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.6266659368170001,0.2502113420821638,0.13625170633595912,1.117080167298041,13,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.20314812988981354,0.24496200560736767,-0.2769774011006271,0.6832736608802542,14,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.6742647247286115,0.23528004798046012,0.2131158306869097,1.1354136187703134,15,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.8380073445455046,0.26454797358711085,0.3194933163147674,1.3565213727762417,16,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.6858361562705921,0.29325300518935365,0.11106026609945896,1.2606120464417252,17,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.3908631516547261,0.318519058354049,-0.23343420271920984,1.0151605060286621,18,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.399058960514439,0.2175735126483731,-0.02738512427637224,0.8255030453052503,19,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.5044487411094436,0.21723855009270568,0.07866118292774049,0.9302362992911467,20,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.49072540661289854,0.24449671024532849,0.011511854532054722,0.9699389586937424,21,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.42614097397022643,0.21048824680986924,0.013584010222882748,0.8386979377175701,22,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.8377985419016833,0.2355312811370523,0.37615723087306085,1.299439852930306,23,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.7856823845696204,0.2789133536043921,0.23901221150501184,1.3323525576342288,24,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.7493058368840699,0.27174493431893887,0.2166857656189498,1.28192590814919,25,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.38566594384156677,0.3194671212057881,-0.24048961372177785,1.0118215014049114,26,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.37518991892989695,0.27025326160892443,-0.15450647382359495,0.9048863116833888,27,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.2867266692171215,0.2807791062818346,-0.2636003790952744,0.8370537175295174,28,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.17010225761094788,0.24175473063793113,-0.3037370144393971,0.6439415296612929,29,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.4877979444744924,0.2535281217047751,-0.009117174066866851,0.9847130630158516,30,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.09890448513913294,0.24606243236982103,-0.38337788230571623,0.5811868525839822,31,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.403324438045055,0.24465411711240562,-0.07619763149525999,0.88284650758537,32,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.5196860576517757,0.29924643936222745,-0.06683696349819013,1.1062090788017414,33,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
0.7164599227935665,0.24683349615647285,0.23266627032687975,1.2002535752602532,34,False,dgp3,pds_lasso,Interactions + linear,PDS-LASSO,0.5
