Complexity,Loss,Equation
1,71.78331,"0.18935303"
3,45.54347,"x0 * 5.0695734"
5,20.85588,"(x0 - x1) * 4.9543877"
7,14.400535,"(x2 + (x0 - x1)) * 4.38686"
9,7.7116647,"((x0 - x1) + (x2 - x3)) * 4.015621"
11,3.3324418,"((x2 + ((x0 - x1) * 1.6918619)) - x3) * 2.9671216"
13,2.2324405,"(((x2 + ((x0 - x1) * 1.6658236)) - x3) * 2.9795442) + x4"
15,1.2751763,"(x4 + ((((x0 - x1) * 1.6794525) + (x2 - x3)) * 2.9812403)) - x5"
17,1.2745085,"((1.0251006 * x4) + (((x2 - x3) + (1.6794525 * (x0 - x1))) * 2.9812403)) - x5"
19,1.2741224,"((x4 + (((x2 - x3) + ((x0 - x1) * 1.679586)) * 2.9078453)) * 1.0251513) - (x5 * 0.98017836)"
