Complexity,Loss,Equation
1,21.684513,"-0.1226923"
3,16.10454,"x4 * x3"
5,12.120038,"x3 * (x4 * 2.816584)"
7,9.221363,"x1 - (x3 * (x4 * -2.8825424))"
9,8.153078,"(x1 * 2.0787075) - (x3 * (x4 * -2.9539073))"
10,6.9110107,"(x1 * abs(x0)) - (x3 * (x4 * -2.8797958))"
11,3.7940361,"((x0 * x1) * x0) - (x3 * (x4 * -2.9076416))"
13,0.9443129,"(x0 * (x0 * (x1 * 2.0200696))) - ((x3 * x4) * -3.000744)"
15,0.9322962,"(((x1 * 2.0345378) * (x0 - -0.05653948)) * x0) + (x4 * (x3 * 2.9970214))"
25,0.9288781,"((((x0 * ((x1 * x0) * x32)) * 0.13560803) + ((x1 * 3.9059486) * (x0 * x0))) - (x3 * (x4 * -5.790323))) * 0.5171054"
27,0.9245908,"((x0 * (x1 * (2.6857786 * x0))) - (((x28 * (x44 + x0)) * (x1 * (0.096825 * x0))) + ((x3 * x4) * -3.932053))) * 0.7632529"
