seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6499451539096625,0.42239736056584665,-0.177953672799397,1.4778439806187218,sr_pds,sr_pds,[],[],[],[],{},{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
1,False,0.24480845946106777,0.14494642087413842,-0.03928652545224354,0.5289034443743791,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 1, 25), ('int', 7, 25), ('int', 12, 25), ('int', 14, 25)]","[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.9451139747749115, ('log', 2, None): -4.895367164683741}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
2,False,0.4644205871829959,0.1664540439977606,0.13817066094738512,0.7906705134186067,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.9672208126384305, ('log', 2, None): -4.848835801288114}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
3,False,0.4540179284623058,0.2552228434322181,-0.04621884466484172,0.9542547015894534,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.195085766552789}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
4,False,0.429816856363691,0.12704198909837747,0.18081455773087116,0.6788191549965108,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.062755181449341, ('log', 2, None): -5.109282321258063}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
5,False,0.5590368696207424,0.1413170918394716,0.282055369615378,0.8360183696261068,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.994478891777332, ('log', 2, None): -5.216755188258241}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
6,False,0.4687193152472342,0.1272799936169369,0.21925052775803788,0.7181881027364305,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.0335693755468895, ('log', 2, None): -5.078759688518719}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
7,False,0.5968189478810876,0.2956684222538236,0.01730884026359325,1.176329055498582,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 15, 17), ('int', 17, 37)]","[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.785738132147457}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
8,False,0.4977346187811464,0.2842656370714882,-0.059426029878970554,1.0548952674412633,sr_pds,sr_pds,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -4.943972734442656}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
9,False,0.5387648289296065,0.14315066898943427,0.2581895177103154,0.8193401401488977,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.936169400342169, ('log', 2, None): -5.019390800548823}",{},dgp4,sr_pds,Mixed nonlinear,SR-PDS,0.5
