seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.4270709686365758,0.2056945773103268,0.023909597108335234,0.8302323401648164,dgp1,dml_rf,Linear,DML-RF,0.5
1,False,0.011060751496931339,0.18650424797526088,-0.35448757453457996,0.3766090775284427,dgp1,dml_rf,Linear,DML-RF,0.5
2,False,0.40546450321564276,0.17900253639871908,0.05461953187415336,0.7563094745571322,dgp1,dml_rf,Linear,DML-RF,0.5
3,False,0.2536253327208096,0.18813899544055948,-0.11512709834268697,0.6223777637843062,dgp1,dml_rf,Linear,DML-RF,0.5
4,False,0.5839963182042998,0.15826110718189826,0.27380454812777916,0.8941880882808204,dgp1,dml_rf,Linear,DML-RF,0.5
5,False,0.4234294665579007,0.17549030814751057,0.07946846258877999,0.7673904705270214,dgp1,dml_rf,Linear,DML-RF,0.5
6,False,0.4288120583279943,0.16348101888251126,0.1083892613182722,0.7492348553377164,dgp1,dml_rf,Linear,DML-RF,0.5
7,False,0.6111074441347791,0.17151858462716385,0.274931018265538,0.9472838700040203,dgp1,dml_rf,Linear,DML-RF,0.5
8,False,0.5409769527467175,0.1632250114658385,0.22105593027367404,0.860897975219761,dgp1,dml_rf,Linear,DML-RF,0.5
9,False,0.3395710859082904,0.17356736424058358,-0.0006209480032534076,0.6797631198198342,dgp1,dml_rf,Linear,DML-RF,0.5
