seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.7014637099930783,0.1906442145448161,0.32780104948523875,1.0751263705009177,sr_pds,sr_pds,"[('int', 3, 4)]",[],"[('int', 3, 4)]",[],"{('int', 3, 4): 2.7736773577285603}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
1,False,0.2616918784497021,0.14547434774285864,-0.023437843126300817,0.546821600025705,sr_pds,sr_pds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.646652227933805}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
2,False,0.45629260958926127,0.17119939260032166,0.1207418000926308,0.7918434190858917,sr_pds,sr_pds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.8491421915080135}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
3,False,0.4156303039446075,0.28037017211960696,-0.13389523340982218,0.9651558412990371,sr_pds,sr_pds,"[('int', 3, 4)]","[('int', 1, 17), ('int', 1, 36)]","[('int', 3, 4)]","[('int', 1, 17), ('int', 1, 36)]","{('int', 3, 4): 3.197812290083959}","{('int', 1, 17): -0.4807801126652185, ('int', 1, 36): -0.13236972500800062}",dgp3,sr_pds,Interactions,SR-PDS,0.5
4,False,0.4726745468327706,0.18777540660027792,0.1046347498962259,0.8407143437693153,sr_pds,sr_pds,"[('int', 3, 4)]","[('int', 15, 16), ('int', 15, 17), ('int', 15, 30)]","[('int', 3, 4)]",[],"{('int', 3, 4): 3.334772681208495}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
5,False,0.4220905596295075,0.044431955532009904,0.33500392678676805,0.5091771924722469,sr_pds,sr_pds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 15, 49)]","[('int', 0, 1), ('int', 3, 4)]","[('int', 15, 49)]","{('int', 0, 1): 4.983368593651305, ('int', 3, 4): 3.0677952833379845}","{('int', 15, 49): -0.017904823818597048}",dgp3,sr_pds,Interactions,SR-PDS,0.5
6,False,0.5080222272522247,0.04289763453169601,0.42394286357010047,0.5921015909343489,sr_pds,sr_pds,"[('int', 0, 1), ('int', 3, 4)]","[('int', 2, 31), ('int', 27, 31)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.986920090494029, ('int', 3, 4): 2.950503115884418}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
7,False,0.5849556867697516,0.1384857254094495,0.3135236649672306,0.8563877085722726,sr_pds,sr_pds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.732604728764559}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
8,False,0.6574204914682483,0.1353573045319765,0.3921201745855744,0.9227208083509222,sr_pds,sr_pds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 4.629669886574701}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
9,False,0.5411983631198641,0.14045486807024085,0.2659068217021921,0.8164899045375362,sr_pds,sr_pds,"[('int', 0, 1)]",[],"[('int', 0, 1)]",[],"{('int', 0, 1): 5.152596566346588}",{},dgp3,sr_pds,Interactions,SR-PDS,0.5
