seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.5784870044920071,0.2513756262183993,0.0857907771039444,1.0711832318800698,sr_pds,sr_pds,"[('log', 2, None)]","[('int', 3, 4)]","[('log', 2, None)]","[('int', 3, 4)]","{('log', 2, None): -4.959038905320639}","{('int', 3, 4): 2.623984463273799}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
1,False,0.4989843143536396,0.04556125737930226,0.4096842498902072,0.588284378817072,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.96939764001654, ('log', 2, None): -4.9083499755001}","{('int', 3, 4): 3.1424459879792868}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
2,False,0.6773899230038102,0.26254121952935877,0.16280913272626696,1.1919707132813535,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.896073779243133, ('int', 3, 4): 2.481700864619243}","{('int', 3, 4): 2.481700864619243}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
3,False,0.47595139302638517,0.042958748460684947,0.39175224604344266,0.5601505400093276,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.991308164650344, ('int', 3, 4): 3.1262840684164153, ('log', 2, None): -4.967465298055253}","{('int', 3, 4): 3.1262840684164153}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
4,False,0.39935977536591016,0.26315809611399843,-0.11643009301752671,0.915149643749347,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.693597194242059}","{('int', 3, 4): 3.3106428096982587}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
5,False,0.4775319539543745,0.20229395567244965,0.08103580083637318,0.8740281070723758,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.863066645306091}","{('int', 3, 4): 3.442890005050256}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
6,False,0.5067986056428502,0.04271515397731887,0.4230769038473052,0.5905203074383951,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.989505671267905, ('int', 3, 4): 2.9390860064208395, ('log', 2, None): -4.973425349837108}","{('int', 3, 4): 2.9390860064208395}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
7,False,0.4606102683892081,0.26752924530722166,-0.06374705241294637,0.9849675891913625,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.817969879814826}","{('int', 3, 4): 3.256415376776484}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
8,False,0.9967824855842761,0.2616340162301581,0.48397981377316623,1.509585157395386,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 4)]","[('cubic', 0, 1)]","[('int', 3, 4)]","{('cubic', 0, 1): 5.186103717667941}","{('int', 3, 4): 1.5050668906254732}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
9,False,0.5037386624813013,0.0417498347720242,0.42190898632813384,0.5855683386344687,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 4)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 4)]","{('cubic', 0, 1): 4.967670826486531, ('log', 2, None): -5.092930604147692}","{('int', 3, 4): 3.0156501471124426}",dgp6,sr_pds,NL + mild NL conf.,SR-PDS,0.5
